acct,permit_id,status,issue_date,permit_type,description
1279870010001,1095613,C,2007-05-16,10,New Dwelling - permit
1279870010002,1100098,C,2007-08-03,10,New Dwelling - permit
1279870010003,1154660,C,2008-05-28,10,New Dwelling - permit
1279870010004,1326854,C,2012-10-02,10,New Dwelling - permit
1279870010004,1352060,C,2013-04-30,10,New Dwelling - permit
1279870010005,1322645,C,2012-08-17,10,New Dwelling - permit
1279870010006,1075076,C,2006-08-03,10,New Dwelling - permit
1279870010007,1075042,C,2006-06-15,10,New Dwelling - permit
1279870010008,1091123,C,2007-03-20,10,New Dwelling - permit
1279870010009,1075060,C,2006-07-12,10,New Dwelling - permit
1279870010010,1327127,C,2012-10-09,10,New Dwelling - permit
1279870010010,1352061,C,2013-04-30,10,New Dwelling - permit
1279870010011,1075100,C,2006-09-12,10,New Dwelling - permit
1279870010012,1075072,C,2006-08-02,10,New Dwelling - permit
1279870010013,1075151,C,2006-12-22,10,New Dwelling - permit
1279870010014,1091122,C,2007-03-20,10,New Dwelling - permit
1279870010015,1096095,C,2007-05-29,10,New Dwelling - permit
1279870010016,1148779,C,2008-02-08,10,New Dwelling - permit
1279870010017,1086743,C,2007-01-17,10,New Dwelling - permit
1279870010018,1075054,C,2006-06-30,10,New Dwelling - permit
1279870010019,1087517,C,2007-01-29,10,New Dwelling - permit
1279870010020,1,C,2007-08-08,09,New Dwelling - no permit
1279870010021,1075057,C,2006-07-12,10,New Dwelling - permit
1279870010022,1086124,C,2007-01-03,10,New Dwelling - permit
1279870010023,1086125,C,2007-01-03,10,New Dwelling - permit
1279870010024,1,C,2007-08-08,09,New Dwelling - no permit
1279870010025,1087495,C,2007-01-29,10,New Dwelling - permit
1279870010026,1075118,C,2006-10-19,10,New Dwelling - permit
1279870010027,1086126,C,2007-01-03,10,New Dwelling - permit
1279870010028,1086123,C,2007-01-03,10,New Dwelling - permit
1279870010029,1075071,C,2006-07-31,10,New Dwelling - permit
1279870010030,1075025,C,2006-05-19,10,New Dwelling - permit
1279870010031,1,C,2007-08-08,09,New Dwelling - no permit
1279870010032,1,C,2007-08-08,09,New Dwelling - no permit
1279870010033,1075081,C,2006-08-08,10,New Dwelling - permit
1279870010034,1327129,C,2012-10-09,10,New Dwelling - permit
1279870010035,1,C,2008-01-14,07,Extra Features (OB&Y)
1279870010035,1075069,C,2006-07-26,10,New Dwelling - permit
1279870010036,1095552,C,2007-05-16,10,New Dwelling - permit
1279870010037,1398172,C,2014-04-10,10,New Dwelling - permit
1279870010038,1,C,2006-09-06,10,New Dwelling - permit
1279870010039,1075396,C,2006-11-22,10,New Dwelling - permit
1279870010040,1,C,2007-08-08,09,New Dwelling - no permit
1279870010041,1075039,C,2006-06-12,10,New Dwelling - permit
1279870010042,1095551,C,2007-05-16,10,New Dwelling - permit
1279870010043,1075149,C,2006-12-22,10,New Dwelling - permit
1279870010044,1075036,C,2006-05-31,10,New Dwelling - permit
1279870010045,1075145,C,2006-12-14,10,New Dwelling - permit
1279870010046,1075656,C,2006-05-30,10,New Dwelling - permit
1279870010047,1075040,C,2006-06-12,10,New Dwelling - permit
1279870010048,1087496,C,2007-01-29,10,New Dwelling - permit
1279870010049,1087120,C,2007-01-23,10,New Dwelling - permit
1279870010050,1093105,C,2007-04-17,10,New Dwelling - permit
1279870010051,1327693,C,2012-10-24,10,New Dwelling - permit
1279870010052,1355647,C,2013-05-15,10,New Dwelling - permit
1279870010053,1,C,2007-08-29,10,New Dwelling - permit
1279870010054,1075034,C,2006-05-30,10,New Dwelling - permit
1279870010055,1075077,C,2006-08-03,10,New Dwelling - permit
1279870010056,1075152,C,2006-12-22,10,New Dwelling - permit
1279870010057,1355178,C,2013-05-07,10,New Dwelling - permit
1279870010058,1,C,1899-12-30,07,Extra Features (OB&Y)
1279870010058,1326104,C,2012-09-20,10,New Dwelling - permit
1279870010059,1158150,C,2008-07-24,10,New Dwelling - permit
1279870010060,1089899,C,2007-03-02,10,New Dwelling - permit
1279870010061,1075078,C,2006-08-03,10,New Dwelling - permit
1279870010062,1,C,2019-10-31,12,Repairs (Foundation / GM)
1279870010062,1075092,C,2006-08-24,10,New Dwelling - permit
1279870020001,1,C,2007-08-08,09,New Dwelling - no permit
1279870020002,1,C,2007-08-02,09,New Dwelling - no permit
1279870020003,1075150,C,2006-12-22,10,New Dwelling - permit
1279870020004,1323287,C,2012-08-31,10,New Dwelling - permit
1279870020005,1184402,C,2009-07-21,10,New Dwelling - permit
1279870020006,1088736,C,2007-02-14,10,New Dwelling - permit
1279870020007,1097586,C,2007-06-21,10,New Dwelling - permit
1279870020008,1095590,C,2007-05-16,10,New Dwelling - permit
1279870020009,1075093,C,2006-08-24,10,New Dwelling - permit
1279870020010,1,C,2006-05-19,10,New Dwelling - permit
1279870020011,1087122,C,2007-01-23,10,New Dwelling - permit
1279870020012,1326856,C,2012-10-02,10,New Dwelling - permit
1279870020013,1094945,C,2007-05-08,10,New Dwelling - permit
1279870020014,1095553,C,2007-05-16,10,New Dwelling - permit
1279870020015,1075070,C,2006-07-26,10,New Dwelling - permit
1279870020016,1075148,C,2006-12-22,10,New Dwelling - permit
1279870020017,1316511,C,2012-07-17,10,New Dwelling - permit
1279870020018,1075037,C,2006-05-31,10,New Dwelling - permit
1279870020019,1075079,C,2006-08-03,10,New Dwelling - permit
1279870020020,1075031,C,2006-05-30,10,New Dwelling - permit
